Province,City,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index
Zhejiang,Ningbo,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.03,0.38,0.074,2.71,15.38,1.39,6.9,0.66,0.02,87.0,68.33333333333333
Sichuan,Mianyang,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.015,0.38,0.147,3.15,16.82,2.98,4.68,0.39,0.1,116.0,63.333333333333336
Zhejiang,Ningbo,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.029,0.3,0.021,3.39,17.31,2.65,3.24,0.27,0.11,110.0,59.779666666666664
Beijing,Beijing,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.014,0.2,0.155,2.91,17.95,5.18,3.2,0.67,0.11,99.0,60.0
Sichuan,Chengdu,2023-03-06,21.81,8.547,7.93,722.1060000000001,4.07,1.9800000000000002,0.020900000000000002,0.24200000000000002,0.16720000000000002,3.7950000000000004,22.110000000000003,3.8170000000000006,2.211,0.37400000000000005,0.15400000000000003,90.2,56.706075
Zhejiang,Ningbo,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.022,0.44,0.134,2.87,18.16,5.27,4.42,-0.03,0.12,91.0,58.333333333333336
Yunnan,Dali,2023-05-07,19.19,7.920000000000001,11.77,569.2060000000001,2.4859999999999998,2.189,0.0033000000000000004,0.319,0.05500000000000001,3.355,19.624000000000002,3.674,5.511,0.66,0.099,101.2,58.446
Yunnan,Dali,2023-12-12,25.71,8.118,9.58,449.96600000000007,2.519,2.9700000000000006,0.0374,0.35200000000000004,0.1144,3.0250000000000004,27.082000000000004,6.281000000000001,7.425000000000001,0.55,0.08800000000000001,100.10000000000001,49.56321666666667
Jiangsu,Nanjing,2023-03-02,15.4,8.547,6.43,514.5690000000001,14.223,2.0020000000000002,0.0286,0.781,0.1386,4.048000000000001,35.970000000000006,4.048000000000001,5.049,0.231,0.17600000000000002,104.50000000000001,45.039408333333334
Shandong,Jinan,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.028,0.53,0.039,3.52,26.63,4.73,3.09,0.35,0.04,108.0,63.333333333333336
Zhejiang,Ningbo,2023-09-15,24.11,7.95,7.51,424.63,1.54,2.44,0.018,0.74,0.127,4.37,20.47,2.59,4.93,0.31,0.15,96.0,55.02941666666667
Shandong,Qingdao,2023-12-28,22.37,6.96,6.31,348.52,9.52,1.54,0.015,0.64,0.105,3.32,28.81,4.23,3.38,0.71,0.1,107.0,51.666666666666664
Zhejiang,Ningbo,2023-08-22,13.11,6.53,9.03,551.38,10.09,2.01,0.029,0.79,0.1,3.67,24.94,4.23,5.35,0.27,0.02,84.0,57.86158333333333
Henan,Luoyang,2023-10-21,31.57,6.6770000000000005,9.37,372.60300000000007,0.165,1.7050000000000003,0.0187,0.8910000000000001,0.11660000000000001,3.5970000000000004,15.015000000000002,7.029,9.559000000000001,0.8470000000000001,0.15400000000000003,104.50000000000001,53.269508333333334
Yunnan,Dali,2023-04-28,16.04,7.634000000000001,9.01,645.238,2.8930000000000002,2.0130000000000003,0.0187,0.6160000000000001,0.020900000000000002,3.8170000000000006,28.963,4.8180000000000005,9.13,0.25300000000000006,0.20900000000000002,101.2,50.90631666666667
Zhejiang,Hangzhou,2023-03-07,22.22,7.39,6.15,494.05,3.38,1.35,0.019,0.1,0.035,3.77,26.62,3.87,4.07,0.51,0.22,112.0,58.25008333333333
Zhejiang,Ningbo,2023-09-16,21.0,6.7,8.14,461.47,14.09,1.05,0.033,0.38,0.206,3.34,20.35,4.44,4.78,0.4,0.11,95.0,61.666666666666664
Hubei,Yichang,2023-03-24,17.05,7.42,8.71,430.71,4.96,2.18,0.026,0.37,0.144,3.28,16.45,2.21,2.56,0.37,0.16,98.0,64.8335
Guangdong,Shenzhen,2023-04-09,26.53,7.01,9.36,468.97,2.46,1.86,0.014,0.88,0.153,2.1,17.77,5.2,2.61,0.65,0.13,109.0,56.666666666666664
Beijing,Beijing,2023-08-16,20.38,6.66,9.95,485.29,2.16,2.31,0.034,0.41,0.11,3.28,24.36,5.15,4.05,0.37,0.17,83.0,58.22233333333333
